SMILES,ACTIVITY
CO[C@]1(NC(=O)C2SC(=C(C(=O)N)C(=O)O)S2)[C@H]2SCC(=C(N2C1=O)C(=O)O)CSc1nnnn1C,0.955361378
Cc1nnc(s1)SCC1=C(N2[C@H](SC1)[C@H](NC(=O)Cn1cnnn1)C2=O)C(=O)O,0.947089958
C[C@@H](C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(=O)O)CSc1nnnn1C)n1cc(cn1)Cl,0.94314695
C[C@@H](C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(=O)O)CSc1nnnn1C)n1cc(c(n1)C)Cl,0.940177095
Cc1nn(cc1Br)CC(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(=O)O)CSc1nnnn1C,0.939589903
Cc1c(cnn1CC(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(=O)O)CSc1nnnn1C)Cl,0.939156625
CO[C@]12[C@@H]3N[C@@H]3CN2C2=C([C@@H]1COC(=O)N)C(=O)C(=C(C)C2=O)N,0.937083787
CS[C@@]1(CO)N(C)C(=O)[C@@]2(CC3=CC=C[C@@H](O)[C@H]3N2C1=O)SC,0.936099708
Cc1onc(c1C(=O)N[C@H]1[C@H]2SC(C)(C)[C@@H](N2C1=O)C(=O)O)-c1c(cccc1Cl)F,0.935455996
Cc1onc(c1C(=O)N[C@H]1[C@H]2SC(C)(C)[C@@H](N2C1=O)C(=O)O)-c1c(cccc1Cl)Cl,0.934785938
Cc1onc(c1C(=O)N[C@H]1[C@H]2SC(C)(C)[C@@H](N2C1=O)C(=O)O)-c1c(cccc1Cl)Cl,0.934785938
Cc1cc(n(n1)CC(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(=O)O)CSc1nnc(s1)C)C,0.930534512
CO[C@@]12[C@H]3N[C@H]3CN2C2=C([C@H]1COC(=O)N)C(=O)C(=C(C)C2=O)N,0.928327793
Cc1nnc(s1)SCC1=C(N2[C@@H](SC1)[C@@H](NC(=O)Cn1nc(c(c1C)Cl)C(F)F)C2=O)C(=O)O,0.927672318
CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O,0.927478325
Cn1nnnc1SCC1=C(N2[C@H](SC1)[C@H](NC(=O)[C@H](O)c1ccccc1)C2=O)C(=O)O,0.923120672
CN(C)CCn1nnnc1SCC1=C(N2[C@H](SC1)[C@H](NC(=O)Cc1csc(n1)N)C2=O)C(=O)O,0.922415864
