SMILES,ACTIVITY
C=CC(C1=CC(=O)C(OC)=CC1=O)c1ccc(O)cc1,0
C=C1CCC=C(C)CCC2C1CC2(C)C.O,0
CCCCCCCCCCCCCCCC(=O)OCC(O)CO,0
CC1(C)C(=O)C2OC2C2(C)C1CC(O)C1(C)C2CCC2(C)C(c3ccoc3)OC(=O)C3OC321,0
CC1(C)C(O)CC(O)C2(C)C1CC(=O)C1(C)C2CCC2(C)C(c3ccoc3)OC(=O)C3OC321,0
CC1(C)C(O)CC(=O)C2(C)C1CC(=O)C1(C)C2CCC2(C)C(c3ccoc3)OC(=O)C3OC321,0
CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3cc(O)ccc3nc2-1,0
CC(=O)OC1CCC2(C)C(CCC3(C)C2C2OC2C24OC(=O)C5(CCC(C)C(C)C52)CCC34C)C1(C)C,0
CC(=O)C12OC1(C)CC1C3CC=C4CC(O)CCC4(C)C3CCC12C,0
CC(N)C(O)c1ccccc1.Cl,0
CC(=O)c1ccc[nH]1,0
CC1=CC2C(CC1=O)C2(C)C,0
COc1ccc(C(=O)O)c(O)c1OC,0
CC1(C)CC2C1CCC1(C)OC1CCC2(C)O,0
O=c1c2ccccc2oc2ccc(O)cc12,0
COc1cc2c(cc1C=O)OCO2,0
COc1c(O)cccc1O,0
Oc1ccnc(S)n1,0
O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1,1
O=C(OC1Cc2c(O)cc(O)cc2OC1c1cc(O)c(O)c(O)c1-c1c(C2Oc3cc(O)cc(O)c3CC2OC(=O)c2cc(O)c(O)c(O)c2)cc(O)c(O)c1O)c1cc(O)c(O)c(O)c1,0
O=C(C=Cc1ccc(O)cc1)c1ccccc1O,0
COc1ccc(C=CC(=O)c2ccc(O)cc2O)cc1,0
O=C(C=Cc1ccccc1)c1ccc(O)cc1O,0
O=C(C=Cc1ccccc1)c1ccc(OC2OC(CO)C(O)C(O)C2O)cc1O,0
COc1ccc(C=CC(=O)c2cc(O)ccc2O)cc1,0
N#CCCN.O=C(O)C=CC(=O)O,0
CC(=O)OC1CCC2(C)C(CCC3C4CC=C(C(C)=O)C4(C)CCC32)C1,0
CC(=O)OC1CC(O)C(C)(C)C2CC(OC(C)=O)C3(C)C(CCC4(C)C(c5ccoc5)OC(=O)C5OC543)C12C,0
O=c1c(O)c(-c2ccccc2)oc2ccccc12,0
COc1cccc(O)c1O,0
CC(=O)OC1CC2C(C)(C)C=CCC2(C)C2CCC3(C)C(c4ccoc4)OC(=O)C4OC43C12C,0
COc1cc(C=O)cc(OC)c1OC,0
O=c1c(O)c(-c2ccc(O)cc2)oc2ccccc12,0
COc1ccc(-c2oc3cc(OC)c(OC)c(OC)c3c(=O)c2OC)cc1,0
O=c1c(O)c(-c2ccccc2)oc2cccc(O)c12,0
O=c1c(O)c(-c2ccccc2)oc2cc(O)ccc12,0
COc1ccc2c(=O)c(OC)c(-c3ccccc3)oc2c1,0
O=c1cc(-c2cccc(O)c2)oc2ccc(O)cc12,0
CC(=O)OC1CCC2(C)C(CC(OC(C)=O)C3(C)C4=CC(=O)OC(c5ccoc5)C4(C)CCC23)C1(C)C,0
C=C1C2CCC3(C)C(c4ccoc4)OC(=O)CC13OC1CC(O)C(C)(C)C(CC(=O)OC)C12C,0
CC(=O)OC1CCC2(C)C(CC(OC(C)=O)C3(C)C2CCC2(C)C(c4ccoc4)OC(=O)C4OC423)C1(C)C,0
CC(CCC(=O)O)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C,0
CC(=O)OC1CC2C(C)(C)C(O)CCC2(C)C2CCC3(C)C(=CC(=O)OC3c3ccoc3)C12C,0
CC(=O)Oc1ccc(O)cc1,0
COc1ccc(C=O)cc1,0
Cc1cc(O)cc(=O)o1,0
O=C(C=Cc1ccc(O)cc1)c1ccccc1,0
COc1ccc(C=CC(=O)c2ccccc2)cc1,0
C=CC(C1=CC(=O)C(OC)=CC1=O)c1ccccc1,0
Cc1cc(=O)oc2c(O)c(O)ccc12,0
Cc1cc(=O)oc2cc(O)c(O)cc12,0
Cc1c[nH]cn1,0
O=C(O)CCCN1C(=O)c2cccc3cccc(c23)C1=O,0
CCCCCCCCCc1ccc(O)cc1,0
C=CC(C1=CC(=O)C(OC)=CC1=O)c1ccc(OC)cc1,0
O=C(C=Cc1ccccc1)c1ccc(O)cc1,0
COc1ccc(C(=O)C=Cc2ccccc2)cc1,0
COc1ccc(-c2cc(=O)c3ccccc3o2)cc1,0
COc1ccc(-c2cc(=O)c3c(O)cc(OC)c(OC)c3o2)c(OC)c1,0
COc1ccccc1-c1cc(=O)c2c(OC)cccc2o1,0
COc1ccc(-c2coc3cc(O)cc(OC)c3c2=O)cc1,0
COc1ccc(-c2cc(=O)c3c(OC)cc(OC)cc3o2)cc1,0
COc1ccc(-c2coc3cc(OC)cc(OC)c3c2=O)cc1,0
CC12CCC3C(CCC4CC(=O)CCC43C)C1CCC2=O,0
CC(C)CCCC(C)C1CCC2C3CC(=O)C4CC(O)CCC4(C)C3CCC12C,0
CC(C)CCCC(C)C1CCC2C3CCC4CC(O)CCC4(C)C3CCC12C,0
O=c1cccc(C=Cc2ccc3c(c2)OCO3)o1,0
O=c1cc(-c2ccccc2)oc2ccc(O)cc12,0
O=c1cc(-c2ccccc2O)oc2ccc(O)cc12,0
COc1cccc(-c2cc(=O)c3cc(OC)ccc3o2)c1,0
O=c1cc(-c2ccc(O)cc2)oc2ccc(O)cc12,0
CC(=O)OC1CC(OC(C)=O)C2(C)C(CC(=O)C3(C)C2CCC2(C)C(c4ccoc4)OC(=O)C4OC423)C1(C)C,0
CC(=O)OC1CC(OC(C)=O)C2(C)C(CC(O)C3(C)C2CCC2(C)C(c4ccoc4)OC(=O)C4OC423)C1(C)C,0
CC1(C)C(=O)C=CC2(C)C1C=CC1(C)C2CCC2(C)C(c3ccoc3)OC(=O)C3OC312,0
O=c1cc(-c2ccccc2)oc2cc(O)ccc12,0
COc1ccc2c(=O)ccoc2c1,0
COC(=O)C1(C)CCCC2(C)c3ccc(C(C)C)cc3C(=O)CC12,0
O=c1cc(-c2ccccc2O)oc2cc(O)ccc12,0
COc1ccc2c(=O)cc(-c3ccccc3OC)oc2c1,0
O=c1cc(-c2ccc(O)cc2)oc2cc(O)ccc12,0
COc1ccc(-c2coc3cc(OC)ccc3c2=O)c(O)c1,0
COc1ccc(-c2coc3cc(OC)ccc3c2=O)cc1,0
O=c1cc(-c2ccccc2)oc2c(O)c(O)ccc12,0
COc1ccc2c(=O)cc(-c3ccccc3)oc2c1OC,0
CC1(C)C(=O)C2CC3(O)C4=CC(=O)OC(c5ccoc5)C4(C)CCC3C(C)(C2=O)C1CC(=O)O,0
Nc1nc(NC2CC2)c2ncn(C3C=CC(CO)C3)c2n1.O=S(=O)(O)O,0
CCC(C)C1OC2(C=CC1C)CC1CC(CC=C(C)C(OC3CC(OC)C(OC4CC(OC)C(O)C(C)O4)C(C)O3)C(C)C=CC=C3COC4C(O)C(C)=CC(C(=O)O1)C34O)O2,0
CC(C)C1=CC2=CCC3C(C)(C(=O)O)CCCC3(C)C2CC1,1
CC12CCC(O)CC1=CCC1C2CCC2(C)C(c3cccnc3)=CCC12,0
CNC(Cc1c[nH]c2ccccc12)C(=O)O,0
CC(C=CC1(O)C(C)=CC(=O)CC1(C)C)=CC(=O)O,0
COc1ccc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc1,0
NC(=O)c1ncn(C2OC(CO)C(O)C2O)c1N,0
CC(=O)NCCCS(=O)(=O)[O-].CC(=O)NCCCS(=O)(=O)[O-].[Ca+2],0
CC1OC(OC2C(CO)OC(OC3C(CO)OC(O)C(O)C3O)C(O)C2O)C(O)C(O)C1NC1C=C(CO)C(O)C(O)C1O,0
CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(C(C)=O)c1.Cl,0
CCN(CC)CCNC(=O)c1ccc(NC(C)=O)cc1.Cl,0
O=C(O)COC(=O)Cc1ccccc1Nc1c(Cl)cccc1Cl,0
CC(=O)Nc1ccc(S(=O)(=O)c2ccc(NC(C)=O)cc2)cc1,0
CC(=O)Nc1ccc(C(=O)O)cc1,0
Cn1c(=O)c2c(ncn2CC(=O)O)n(C)c1=O,0
CC(=O)NC(CCC(N)=O)C(=O)O,0
COc1ccc2c(c1)c(CC(=O)OCC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,0
CC(=O)NC1C(O)CC(O)(C(=O)O)OC1C(O)C(O)CO,0
CC(=O)c1ccc2c(c1)N(CCCN(C)C)c1ccccc1S2.O=C(O)C=CC(=O)O,0
CC1=CC(=O)[N-]S(=O)(=O)O1.[K+],0
CC(=O)Nc1ccc(O)cc1,0
CC(=O)Nc1ccc(OC(=O)c2ccccc2O)cc1,0
CC(=O)Nc1ccccc1,0
CC(=O)Nc1cc([As](=O)(O)O)ccc1O,0
CC(=O)Nc1nnc(S(N)(=O)=O)s1,0
CC(=O)c1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,0
CC(=O)NO,0
CC(=O)c1ccc2c(c1)N(CCCN1CCN(CCO)CC1)c1ccccc1S2.O=C(O)C=CC(=O)O,0
COc1cc(C(C)=O)cc(OC)c1O,0
CC(=O)Nc1c(I)cc(I)c(C(=O)O)c1I,0
COc1cc(C)c(C(=O)O)c(OC(C)=O)c1,0
CC(=O)Oc1ccc2c(C)cc(=O)oc2c1,0
CC(=O)OC1CC2CC(OC(C)=O)C3(C)C(CCC4(C)C(c5ccoc5)OC(OC(C)=O)C5OC543)C2(C)C(OC(C)=O)C1,0
CC(=O)NC(CC(C)C)C(=O)O,0
CC(=O)OC(CC(=O)O)[N+](C)(C)C.[Cl-],0
CC(=O)OCC[N+](C)(C)C.[Cl-],0
CC(=O)NC(CS)C(=O)O,0
CC(=O)Oc1ccccc1C(=O)Nc1ccccc1,0
CC(=O)NCCCCCC(=O)O,0
Cc1cnc(C(=O)O)c[n+]1[O-],0
COc1cc(C)c(C=CC=CC=CC=CC(=O)O)c(C)c1C,0
O=C(O)C=C(CC(=O)O)C(=O)O,0
C[n+]1c2cc(N)ccc2cc2ccc(N)cc21.[Cl-],0
CCCCCCc1ccc(O)cc1O.Nc1c2ccccc2nc2ccccc12,0
CC(=O)Nc1ccc(CC(=O)O)cc1,0
CC(=O)OC1CC23CC24CCC(OC2OCC(O)C(O)C2O)C(C)(C)C4CCC3C2(C)CC3OC4(CC(C)C3C12C)OC(O)C1(C)OC41,0
CCOc1ccc(S(=O)(=O)[O-])c2cccnc12.[Na+],0
Nc1nc2c(ncn2COCCO)c(=O)[nH]1,0
COc1ccc(-c2ccc3cc(C(=O)O)ccc3c2)cc1C12CC3CC(CC(C3)C1)C2,0
CC(C)(C)C(=O)OCOP(=O)(COCCn1cnc2c(N)ncnc21)OCOC(=O)C(C)(C)C,0
O=C(CCCCCCCC(=O)NCCO)NCCO,0
Nc1ncnc2[nH]cnc12,0
Nc1ncnc2c1ncn2C1OC(CO)C(O)C1O,0
Nc1ncnc2c1ncn2C1OC(COP(=O)(O)O)C(O)C1O,0
Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)([O-])OP(=O)([O-])O)C(O)C1O.[Na+].[Na+],0
CCN(CC)CCOC(=O)C(c1ccccc1)c1ccccc1.Cl,0
O=C(O)CCCCC(=O)O,0
OCC(O)C(O)C(O)CO,0
CNCC(=O)c1ccc(O)c(O)c1.Cl,0
CC12CC(=O)C3C(CCC4=CC(=O)CCC43C)C1CCC2=O,0
CC(=O)NC(Cc1ccccc1)C(=O)O,0
CCCCCCCCCCCCCCCCC(C(=O)O)C(O)(CC(=O)O)C(=O)O,0
CC(=CCn1c[n+](C)c2c(N)ncnc21)CCC1(C)C(C)CCC2(C)C(C)=CCCC21.[Cl-],1
N=C(N)NCCCCN.O=S(=O)(O)O,0
COc1ccc2cccc(CCNC(C)=O)c2c1,0
CCC1C2CC3C4N(C)c5ccccc5C45CC(C2C5O)N3C1O,0
NC(=O)c1ccc([N+](=O)[O-])cc1Cl,0
CCCSc1ccc2nc(NC(=O)OC)[nH]c2c1,0
CC(C)(C)NCC(O)c1ccc(O)c(CO)c1,0
NCCCC(O)(P(=O)(O)O)P(=O)(O)O.O.O.O.[Na+],0
O=C(O)CCCCCCCC(O)C(O)CCCCCCO,0
COc1cc2nc(N(C)CCCNC(=O)C3CCCO3)nc(N)c2cc1OC.Cl,0
COC1C(C(=O)O)OC(C)C(O)C1O.COC1OC(C(=O)O)C(O)C(O)C1O,0
COCCCOc1cc(CC(CC(N)C(O)CC(C(=O)NCC(C)(C)C(N)=O)C(C)C)C(C)C)ccc1OC.O=C(O)C=CC(=O)O,0
O=C1c2ccccc2C(=O)c2c1ccc(O)c2O,0
NC(=O)NC1NC(=O)NC1=O,0
O=c1[nH]cnc2[nH]ncc12,0
C=CCC1(O)CCC2C3CCC4=CCCCC4C3CCC21C,0
C=CCN=C=S,0
C=CCNC(N)=S,0
